cap-shape,cap-size,cap-surface,cap-color,bruises?,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,spore-hue,population,habitat,cals,fat,carbs,protein,label
convex,small,fibrous,cinnamon,bruises,fishy,descending,distant,broad,brown,tapering,rhizomorphs,silky,fibrous,brown,red,partial,brown,two,none,chocolate,white,numerous,paths,low,medium,medium,high,0
sunken,small,smooth,gray,bruises,creosote,descending,crowded,broad,pink,tapering,rhizomorphs,scaly,silky,pink,gray,universal,brown,two,none,brown,green,abundant,paths,medium,medium,high,high,1
flat,large,scaly,brown,bruises,foul,attached,distant,narrow,pink,enlarging,rhizomorphs,fibrous,smooth,cinnamon,white,partial,orange,none,zone,black,purple,clustered,paths,low,high,high,low,0
conical,small,fibrous,pink,no,musty,notched,crowded,broad,white,tapering,cup,scaly,fibrous,pink,pink,partial,brown,two,evanescent,green,pink,abundant,waste,low,high,high,low,0
knobbed,large,fibrous,cinnamon,no,foul,descending,crowded,broad,black,enlarging,bulbous,smooth,scaly,cinnamon,pink,partial,brown,one,none,orange,white,abundant,grasses,medium,medium,medium,medium,2
convex,medium,grooves,green,no,foul,descending,crowded,broad,black,tapering,rhizomorphs,smooth,silky,orange,pink,partial,yellow,two,evanescent,purple,pink,numerous,meadows,low,high,medium,low,0
sunken,small,grooves,gray,no,spicy,attached,crowded,broad,green,enlarging,rhizomorphs,fibrous,fibrous,white,red,partial,brown,one,none,chocolate,yellow,scattered,meadows,high,high,low,medium,1
flat,large,grooves,gray,bruises,musty,attached,distant,narrow,black,tapering,rooted,scaly,scaly,pink,orange,partial,white,none,none,white,buff,several,meadows,low,high,medium,medium,2
bell,medium,fibrous,cinnamon,bruises,spicy,attached,crowded,broad,green,enlarging,rooted,smooth,silky,yellow,cinnamon,partial,white,one,pendant,orange,purple,numerous,urban,medium,medium,medium,medium,0
convex,large,smooth,yellow,no,creosote,free,close,narrow,pink,enlarging,rooted,smooth,fibrous,white,pink,partial,yellow,two,evanescent,orange,brown,solitary,meadows,high,medium,high,high,1
sunken,small,fibrous,pink,no,spicy,attached,crowded,broad,purple,enlarging,club,smooth,silky,orange,buff,universal,white,one,pendant,buff,red,solitary,meadows,medium,high,high,medium,3
conical,small,scaly,cinnamon,bruises,fishy,free,distant,narrow,green,tapering,rhizomorphs,smooth,smooth,gray,buff,universal,orange,none,sheathing,white,pink,several,meadows,low,medium,medium,high,1
knobbed,small,fibrous,gray,bruises,none,descending,close,narrow,purple,enlarging,rooted,fibrous,scaly,pink,white,universal,brown,one,pendant,chocolate,brown,clustered,woods,medium,low,medium,medium,2
convex,medium,scaly,brown,bruises,pungent,descending,crowded,broad,gray,tapering,missing,fibrous,smooth,red,red,universal,white,none,large,yellow,green,scattered,paths,low,high,low,low,2
convex,medium,scaly,red,bruises,spicy,free,distant,broad,green,enlarging,bulbous,fibrous,scaly,gray,red,partial,orange,none,evanescent,brown,purple,scattered,meadows,low,medium,low,medium,1
convex,medium,grooves,cinnamon,no,foul,notched,close,broad,red,tapering,rhizomorphs,silky,fibrous,gray,orange,universal,white,none,none,white,red,scattered,woods,low,low,low,high,3
flat,small,fibrous,yellow,no,pungent,attached,close,narrow,white,enlarging,cup,scaly,smooth,yellow,white,universal,white,none,none,white,gray,abundant,woods,medium,low,medium,high,2
convex,small,smooth,brown,no,spicy,free,close,broad,buff,enlarging,club,smooth,fibrous,yellow,cinnamon,partial,white,one,none,buff,buff,abundant,urban,low,low,high,medium,0
knobbed,large,grooves,cinnamon,bruises,creosote,attached,distant,narrow,pink,tapering,rooted,scaly,fibrous,pink,red,universal,yellow,two,none,yellow,green,clustered,woods,low,high,medium,high,2
knobbed,large,fibrous,white,no,creosote,notched,distant,narrow,black,tapering,club,scaly,scaly,brown,brown,universal,orange,one,pendant,black,yellow,scattered,grasses,high,low,medium,medium,2
convex,large,scaly,green,bruises,spicy,descending,close,narrow,gray,tapering,rooted,smooth,silky,orange,orange,universal,brown,one,none,black,brown,scattered,woods,low,low,medium,high,2
sunken,large,scaly,cinnamon,no,pungent,descending,distant,narrow,red,enlarging,equal,smooth,scaly,gray,cinnamon,universal,white,none,none,white,pink,several,urban,high,medium,low,medium,3
knobbed,small,grooves,red,bruises,none,notched,distant,narrow,black,tapering,missing,scaly,silky,brown,buff,universal,white,none,zone,white,yellow,scattered,urban,medium,low,high,medium,1
knobbed,small,grooves,gray,no,foul,free,distant,narrow,yellow,tapering,rhizomorphs,fibrous,fibrous,gray,gray,partial,white,two,flaring,black,yellow,abundant,grasses,high,medium,low,low,0
sunken,small,scaly,purple,no,musty,notched,distant,narrow,brown,enlarging,rhizomorphs,fibrous,scaly,gray,gray,universal,yellow,two,large,white,brown,clustered,leaves,medium,low,medium,medium,1
sunken,small,smooth,white,bruises,fishy,free,close,broad,chocolate,enlarging,rooted,smooth,scaly,pink,buff,partial,yellow,none,evanescent,white,gray,several,meadows,medium,low,high,medium,1
conical,large,grooves,gray,bruises,creosote,notched,distant,narrow,orange,enlarging,rhizomorphs,fibrous,fibrous,gray,red,universal,yellow,one,none,orange,brown,solitary,urban,medium,high,high,low,1
flat,small,smooth,gray,bruises,foul,descending,distant,broad,red,enlarging,club,fibrous,smooth,pink,red,universal,white,two,none,buff,brown,abundant,meadows,low,low,high,medium,0
knobbed,large,grooves,white,bruises,almond,free,crowded,narrow,pink,tapering,bulbous,scaly,smooth,pink,orange,partial,white,one,sheathing,black,red,clustered,meadows,high,low,high,medium,1
flat,medium,scaly,brown,no,musty,free,distant,broad,orange,tapering,rooted,silky,silky,cinnamon,gray,universal,white,none,none,green,brown,solitary,urban,low,high,low,medium,3
sunken,large,smooth,gray,no,almond,descending,distant,narrow,green,tapering,rhizomorphs,fibrous,fibrous,gray,pink,universal,brown,none,none,black,pink,clustered,waste,low,high,low,low,1
convex,large,grooves,purple,no,fishy,notched,crowded,broad,green,enlarging,rhizomorphs,silky,fibrous,pink,cinnamon,universal,white,one,pendant,purple,green,numerous,grasses,low,high,high,high,2
convex,large,fibrous,yellow,bruises,musty,notched,close,narrow,pink,enlarging,rhizomorphs,smooth,scaly,brown,pink,partial,yellow,none,none,buff,white,abundant,meadows,medium,medium,medium,medium,1
conical,large,grooves,brown,no,musty,descending,distant,broad,red,tapering,club,scaly,smooth,brown,yellow,partial,yellow,one,zone,orange,yellow,scattered,woods,medium,medium,low,low,0
sunken,small,smooth,buff,bruises,creosote,descending,crowded,broad,black,tapering,bulbous,silky,scaly,cinnamon,pink,universal,orange,two,evanescent,black,yellow,scattered,leaves,low,high,high,low,2
convex,large,fibrous,purple,no,anise,free,distant,narrow,buff,tapering,rooted,silky,silky,white,gray,universal,brown,none,evanescent,yellow,white,several,waste,high,high,high,low,1
sunken,small,smooth,pink,bruises,spicy,notched,distant,broad,brown,enlarging,bulbous,fibrous,scaly,buff,red,universal,orange,two,pendant,black,cinnamon,clustered,meadows,high,low,low,low,2
convex,small,grooves,pink,bruises,spicy,attached,distant,narrow,brown,tapering,rooted,silky,silky,brown,buff,universal,white,two,flaring,white,gray,numerous,woods,low,low,medium,high,2
conical,small,scaly,white,bruises,pungent,free,crowded,narrow,black,tapering,bulbous,silky,scaly,gray,buff,universal,white,two,zone,white,brown,several,meadows,high,medium,medium,low,1
conical,small,smooth,red,no,creosote,descending,distant,narrow,purple,tapering,bulbous,fibrous,scaly,orange,brown,partial,orange,none,large,orange,gray,scattered,urban,low,low,low,high,3
knobbed,medium,smooth,red,no,almond,free,crowded,narrow,brown,tapering,rooted,scaly,silky,red,buff,universal,yellow,one,large,white,yellow,clustered,woods,high,medium,medium,low,1
bell,small,smooth,red,no,none,attached,close,narrow,orange,tapering,cup,silky,scaly,cinnamon,gray,partial,white,two,zone,brown,red,solitary,meadows,low,low,high,medium,3
flat,medium,fibrous,pink,no,pungent,free,crowded,narrow,black,tapering,equal,fibrous,silky,red,white,universal,brown,one,evanescent,purple,pink,clustered,leaves,low,low,low,high,3
conical,small,fibrous,purple,no,musty,descending,distant,broad,gray,enlarging,cup,silky,scaly,gray,gray,partial,yellow,none,zone,purple,yellow,numerous,grasses,high,high,medium,low,0
knobbed,small,fibrous,green,bruises,musty,free,distant,broad,buff,tapering,rhizomorphs,scaly,silky,buff,brown,universal,brown,two,none,yellow,gray,abundant,paths,low,medium,low,medium,1
flat,medium,smooth,gray,no,none,descending,distant,narrow,brown,tapering,club,silky,fibrous,pink,cinnamon,universal,white,none,flaring,orange,yellow,scattered,waste,low,high,medium,medium,3
bell,large,scaly,purple,no,foul,attached,crowded,broad,pink,enlarging,rhizomorphs,smooth,silky,buff,buff,universal,white,two,none,green,yellow,scattered,grasses,low,high,high,low,3
conical,medium,grooves,yellow,no,pungent,notched,close,broad,green,tapering,club,fibrous,scaly,yellow,gray,partial,brown,one,sheathing,buff,yellow,clustered,leaves,low,low,low,high,3
flat,medium,smooth,buff,bruises,fishy,attached,distant,narrow,orange,tapering,equal,smooth,scaly,white,pink,universal,orange,none,evanescent,chocolate,green,abundant,paths,low,low,medium,low,2
convex,large,smooth,brown,bruises,fishy,attached,distant,broad,brown,enlarging,cup,smooth,fibrous,cinnamon,pink,partial,yellow,two,sheathing,chocolate,buff,abundant,waste,medium,medium,low,low,0
convex,small,smooth,pink,bruises,none,descending,crowded,broad,purple,tapering,bulbous,silky,silky,pink,gray,universal,yellow,none,large,black,white,clustered,meadows,high,low,high,high,3
bell,medium,smooth,brown,bruises,none,notched,crowded,broad,chocolate,tapering,missing,fibrous,silky,buff,pink,partial,white,two,none,black,yellow,abundant,grasses,high,low,medium,medium,3
flat,medium,fibrous,pink,bruises,fishy,notched,distant,broad,buff,tapering,rhizomorphs,fibrous,silky,pink,brown,universal,white,one,evanescent,white,pink,abundant,paths,low,low,low,high,1
convex,small,scaly,gray,bruises,musty,descending,close,broad,purple,tapering,rhizomorphs,smooth,scaly,yellow,yellow,universal,yellow,two,large,black,yellow,solitary,paths,low,high,medium,low,3
conical,small,fibrous,pink,bruises,creosote,free,close,narrow,gray,tapering,rhizomorphs,scaly,smooth,buff,brown,universal,brown,none,none,orange,red,clustered,woods,medium,medium,low,low,1
flat,large,grooves,purple,no,anise,descending,crowded,broad,pink,tapering,rooted,silky,scaly,cinnamon,red,universal,brown,one,none,green,gray,clustered,woods,high,high,low,medium,2
convex,medium,scaly,red,no,foul,notched,close,broad,brown,enlarging,rooted,smooth,smooth,cinnamon,buff,partial,white,one,zone,brown,yellow,clustered,woods,medium,low,low,medium,2
convex,large,fibrous,purple,no,musty,notched,crowded,narrow,gray,enlarging,rooted,silky,silky,pink,orange,universal,white,one,zone,yellow,red,solitary,woods,medium,low,low,medium,2
convex,medium,smooth,white,bruises,none,descending,distant,narrow,buff,tapering,rooted,scaly,smooth,white,gray,universal,white,two,flaring,brown,cinnamon,scattered,woods,low,high,high,low,3
sunken,medium,smooth,buff,no,foul,notched,distant,broad,green,enlarging,rooted,silky,silky,orange,yellow,partial,orange,none,evanescent,buff,buff,abundant,woods,medium,low,high,high,2
conical,small,fibrous,red,bruises,almond,notched,crowded,broad,black,tapering,rooted,silky,smooth,white,orange,universal,orange,two,none,green,cinnamon,solitary,urban,high,low,low,high,3
conical,small,smooth,buff,bruises,foul,notched,crowded,broad,gray,tapering,bulbous,smooth,silky,pink,brown,universal,orange,none,pendant,orange,gray,scattered,meadows,medium,high,high,medium,3
convex,large,grooves,brown,bruises,spicy,notched,close,narrow,chocolate,enlarging,club,silky,fibrous,pink,buff,partial,orange,none,sheathing,purple,buff,clustered,grasses,high,low,low,high,0
bell,medium,scaly,purple,bruises,creosote,attached,crowded,narrow,black,enlarging,bulbous,silky,scaly,red,buff,partial,brown,two,pendant,yellow,yellow,solitary,grasses,medium,medium,low,medium,2
conical,large,smooth,pink,bruises,pungent,free,crowded,broad,black,tapering,bulbous,smooth,scaly,white,buff,universal,white,two,large,chocolate,brown,solitary,waste,low,medium,medium,medium,2
sunken,medium,grooves,gray,no,fishy,attached,close,broad,white,enlarging,missing,scaly,smooth,buff,orange,universal,yellow,one,sheathing,purple,buff,scattered,leaves,high,high,high,medium,3
sunken,medium,scaly,buff,no,foul,attached,distant,broad,black,enlarging,equal,fibrous,fibrous,yellow,pink,partial,orange,none,none,white,gray,scattered,waste,medium,low,high,high,1
convex,small,scaly,yellow,no,foul,attached,close,narrow,chocolate,tapering,club,fibrous,scaly,orange,orange,partial,brown,two,large,buff,red,abundant,urban,low,low,low,high,0
conical,large,fibrous,buff,bruises,foul,notched,close,narrow,green,enlarging,missing,smooth,silky,buff,gray,universal,brown,one,none,purple,gray,several,grasses,high,medium,medium,low,0
conical,small,grooves,buff,bruises,foul,free,close,broad,orange,tapering,rhizomorphs,smooth,scaly,white,buff,universal,yellow,two,evanescent,white,yellow,several,leaves,low,high,low,medium,0
bell,large,grooves,purple,bruises,fishy,free,close,narrow,black,tapering,bulbous,smooth,scaly,yellow,yellow,partial,white,two,pendant,brown,pink,solitary,grasses,high,medium,high,high,2
bell,small,smooth,green,bruises,none,descending,crowded,narrow,chocolate,tapering,club,scaly,scaly,cinnamon,white,universal,white,one,large,buff,gray,several,leaves,low,high,medium,medium,3
convex,small,smooth,purple,no,none,notched,crowded,narrow,buff,tapering,rooted,smooth,scaly,brown,brown,universal,yellow,one,flaring,buff,pink,clustered,woods,low,medium,high,medium,2
convex,large,scaly,cinnamon,bruises,pungent,attached,crowded,broad,white,tapering,bulbous,scaly,fibrous,buff,yellow,partial,brown,two,zone,buff,pink,numerous,waste,high,medium,low,low,2
sunken,medium,grooves,white,bruises,foul,descending,distant,narrow,white,tapering,rooted,smooth,silky,cinnamon,cinnamon,universal,yellow,one,sheathing,white,buff,scattered,leaves,low,low,medium,high,1
bell,large,fibrous,white,no,pungent,free,close,broad,brown,enlarging,missing,silky,fibrous,yellow,pink,partial,yellow,one,flaring,yellow,red,clustered,meadows,high,medium,medium,low,1
knobbed,large,smooth,yellow,no,creosote,notched,distant,broad,gray,tapering,rooted,fibrous,silky,pink,buff,universal,brown,one,evanescent,white,green,several,meadows,low,high,medium,medium,1
flat,medium,scaly,green,no,fishy,descending,close,narrow,chocolate,tapering,club,silky,silky,orange,pink,universal,white,one,none,yellow,white,solitary,paths,high,medium,high,low,3
sunken,medium,fibrous,brown,no,fishy,notched,distant,narrow,purple,enlarging,club,silky,fibrous,cinnamon,buff,universal,yellow,two,sheathing,yellow,gray,clustered,leaves,medium,medium,low,medium,1
sunken,medium,smooth,buff,no,creosote,attached,crowded,broad,green,enlarging,rooted,smooth,scaly,buff,brown,universal,orange,two,none,green,gray,solitary,woods,medium,high,high,low,2
bell,medium,grooves,gray,bruises,almond,notched,distant,broad,buff,tapering,rhizomorphs,fibrous,silky,white,buff,partial,brown,none,none,green,purple,scattered,urban,low,medium,high,high,1
convex,medium,smooth,purple,bruises,creosote,descending,distant,narrow,brown,enlarging,club,silky,scaly,orange,white,universal,white,two,none,white,white,several,urban,low,medium,medium,medium,3
convex,medium,smooth,red,bruises,fishy,attached,close,narrow,gray,tapering,club,smooth,smooth,gray,yellow,partial,white,none,evanescent,purple,brown,several,urban,medium,low,low,high,2
flat,large,smooth,gray,no,pungent,notched,distant,broad,black,tapering,rooted,silky,silky,white,red,universal,orange,two,none,brown,red,clustered,woods,low,high,medium,medium,2
flat,large,smooth,pink,bruises,foul,notched,crowded,narrow,gray,tapering,cup,silky,silky,cinnamon,buff,partial,yellow,two,zone,black,purple,several,urban,low,medium,high,medium,0
knobbed,medium,smooth,purple,bruises,none,descending,crowded,broad,white,enlarging,rhizomorphs,fibrous,scaly,brown,buff,universal,white,one,none,brown,buff,numerous,leaves,medium,medium,high,medium,1
flat,small,fibrous,white,bruises,pungent,attached,crowded,narrow,gray,tapering,bulbous,fibrous,silky,pink,orange,universal,white,one,none,orange,gray,solitary,leaves,medium,high,high,medium,3
conical,large,scaly,gray,bruises,almond,descending,distant,narrow,purple,tapering,cup,silky,fibrous,yellow,yellow,partial,white,two,large,green,white,scattered,waste,high,low,medium,medium,0
convex,large,smooth,green,no,pungent,attached,distant,broad,orange,tapering,rhizomorphs,silky,fibrous,gray,gray,partial,yellow,two,evanescent,chocolate,yellow,clustered,paths,medium,high,low,high,0
sunken,small,grooves,yellow,no,almond,free,distant,narrow,gray,tapering,equal,fibrous,scaly,gray,gray,partial,white,one,flaring,yellow,green,several,grasses,low,high,high,medium,1
bell,small,fibrous,white,bruises,foul,free,crowded,narrow,black,enlarging,missing,fibrous,fibrous,orange,yellow,partial,orange,one,none,purple,red,scattered,paths,high,low,medium,medium,3
flat,large,smooth,yellow,bruises,pungent,free,crowded,broad,green,enlarging,equal,scaly,smooth,brown,yellow,universal,orange,none,sheathing,yellow,white,numerous,grasses,high,low,low,medium,2
flat,small,fibrous,cinnamon,bruises,creosote,attached,close,narrow,black,enlarging,rooted,fibrous,scaly,brown,gray,universal,yellow,one,large,white,yellow,numerous,woods,low,high,low,high,2
flat,medium,scaly,red,no,foul,free,close,broad,buff,enlarging,cup,silky,smooth,pink,white,universal,yellow,one,large,orange,white,abundant,meadows,medium,high,low,medium,1
sunken,large,scaly,brown,bruises,creosote,notched,crowded,narrow,brown,enlarging,rhizomorphs,smooth,scaly,pink,brown,partial,brown,none,none,yellow,red,scattered,urban,low,high,medium,medium,1
convex,large,grooves,brown,no,anise,attached,close,broad,orange,enlarging,cup,smooth,fibrous,brown,red,universal,white,two,evanescent,green,red,clustered,urban,low,medium,low,medium,0
knobbed,medium,scaly,brown,no,foul,notched,close,broad,gray,enlarging,rhizomorphs,fibrous,smooth,gray,pink,universal,brown,one,pendant,brown,purple,solitary,urban,high,high,low,low,0
convex,large,smooth,pink,bruises,none,attached,distant,narrow,red,enlarging,cup,silky,smooth,pink,gray,universal,yellow,two,none,orange,brown,abundant,paths,medium,low,low,low,3
bell,medium,fibrous,buff,no,anise,descending,crowded,narrow,red,tapering,rooted,scaly,smooth,yellow,gray,universal,yellow,two,evanescent,green,yellow,abundant,woods,low,low,high,high,2
knobbed,small,smooth,brown,no,none,descending,distant,broad,white,tapering,missing,silky,scaly,pink,gray,universal,orange,one,evanescent,green,purple,solitary,meadows,low,low,medium,low,3
convex,small,fibrous,purple,bruises,musty,free,distant,narrow,white,enlarging,equal,scaly,smooth,brown,buff,universal,yellow,two,pendant,purple,yellow,several,waste,medium,high,medium,low,0
bell,medium,scaly,white,no,almond,free,distant,broad,brown,enlarging,rooted,scaly,scaly,red,orange,partial,yellow,one,sheathing,orange,purple,numerous,woods,medium,high,low,low,2
convex,large,scaly,white,no,pungent,notched,close,broad,yellow,tapering,cup,scaly,scaly,cinnamon,cinnamon,universal,brown,two,zone,green,yellow,abundant,grasses,high,low,high,high,2
conical,medium,smooth,purple,no,none,free,crowded,narrow,brown,tapering,club,silky,smooth,pink,red,universal,brown,one,flaring,yellow,pink,scattered,woods,low,high,high,medium,3
knobbed,medium,fibrous,green,no,none,free,close,broad,buff,tapering,club,fibrous,smooth,white,buff,universal,brown,none,none,chocolate,green,abundant,urban,high,low,high,medium,3
sunken,large,smooth,gray,no,musty,descending,distant,narrow,buff,tapering,missing,smooth,silky,cinnamon,white,universal,brown,none,sheathing,white,gray,clustered,grasses,medium,high,low,low,1
convex,small,smooth,brown,no,none,free,distant,narrow,brown,tapering,missing,fibrous,scaly,brown,brown,universal,brown,one,large,purple,brown,numerous,leaves,low,high,low,medium,2
bell,medium,smooth,pink,bruises,none,attached,crowded,broad,white,tapering,rooted,silky,scaly,buff,cinnamon,partial,yellow,one,none,yellow,purple,numerous,paths,medium,low,medium,medium,3
sunken,small,smooth,red,bruises,musty,notched,distant,narrow,brown,tapering,rooted,fibrous,fibrous,orange,buff,universal,brown,one,none,white,red,clustered,waste,high,medium,low,medium,1
bell,small,fibrous,red,bruises,foul,attached,crowded,broad,pink,tapering,rhizomorphs,smooth,silky,pink,cinnamon,universal,brown,two,zone,green,red,clustered,waste,high,low,low,high,0
knobbed,medium,grooves,purple,no,musty,attached,distant,narrow,green,enlarging,rhizomorphs,silky,silky,gray,brown,universal,orange,one,none,orange,pink,abundant,leaves,high,medium,high,high,1
convex,large,fibrous,green,no,fishy,notched,distant,narrow,white,tapering,missing,smooth,silky,buff,pink,partial,white,one,flaring,buff,gray,scattered,waste,high,low,medium,high,2
convex,small,scaly,red,no,almond,free,close,narrow,brown,tapering,club,scaly,scaly,brown,yellow,partial,white,two,flaring,black,gray,several,meadows,low,medium,high,high,2
flat,medium,fibrous,red,no,fishy,attached,close,broad,purple,tapering,club,fibrous,smooth,gray,red,partial,orange,one,evanescent,orange,brown,abundant,urban,low,medium,medium,high,2
convex,large,grooves,brown,bruises,spicy,notched,distant,narrow,red,enlarging,missing,fibrous,smooth,pink,buff,universal,yellow,none,flaring,black,pink,solitary,waste,medium,medium,medium,low,0
conical,medium,scaly,purple,no,pungent,free,distant,narrow,chocolate,enlarging,club,silky,fibrous,orange,pink,universal,brown,two,zone,brown,purple,abundant,urban,low,high,high,medium,0
conical,medium,smooth,yellow,bruises,none,attached,crowded,narrow,pink,tapering,bulbous,smooth,fibrous,cinnamon,buff,universal,orange,none,zone,buff,yellow,numerous,grasses,high,low,medium,high,3
knobbed,small,scaly,green,no,pungent,attached,crowded,narrow,orange,enlarging,club,fibrous,fibrous,buff,cinnamon,partial,yellow,two,zone,buff,purple,several,urban,low,low,medium,high,0
sunken,small,smooth,gray,bruises,none,attached,distant,narrow,orange,tapering,missing,scaly,silky,pink,red,partial,orange,one,sheathing,green,red,clustered,leaves,low,low,low,low,3
flat,small,smooth,cinnamon,no,none,descending,crowded,broad,white,tapering,rooted,smooth,silky,cinnamon,orange,partial,yellow,one,pendant,chocolate,white,numerous,paths,low,high,low,medium,3
convex,medium,scaly,white,bruises,fishy,notched,distant,broad,red,enlarging,equal,smooth,fibrous,white,gray,partial,white,one,sheathing,yellow,red,numerous,paths,high,medium,medium,low,1
convex,large,smooth,red,no,pungent,free,distant,narrow,yellow,enlarging,missing,fibrous,smooth,yellow,orange,universal,orange,none,large,yellow,green,solitary,meadows,low,medium,high,high,2
sunken,large,grooves,white,bruises,spicy,free,distant,broad,buff,tapering,missing,silky,silky,white,orange,partial,yellow,none,zone,brown,gray,solitary,meadows,low,medium,high,low,1
sunken,small,grooves,white,no,creosote,descending,close,broad,buff,enlarging,bulbous,silky,scaly,cinnamon,yellow,partial,orange,none,large,orange,red,abundant,urban,high,medium,medium,medium,0
knobbed,medium,fibrous,purple,bruises,fishy,notched,distant,broad,buff,tapering,rhizomorphs,silky,scaly,pink,brown,universal,orange,two,zone,white,brown,several,grasses,high,high,low,low,1
sunken,small,scaly,brown,bruises,none,notched,distant,broad,gray,enlarging,equal,scaly,scaly,orange,white,partial,white,one,pendant,brown,pink,scattered,leaves,medium,high,medium,medium,3
sunken,medium,grooves,yellow,no,almond,free,distant,broad,green,enlarging,missing,smooth,scaly,white,buff,universal,orange,one,large,white,buff,solitary,paths,high,high,high,high,0
bell,small,scaly,white,bruises,foul,descending,close,broad,pink,tapering,rhizomorphs,silky,fibrous,cinnamon,buff,universal,brown,one,none,orange,buff,clustered,urban,low,low,high,medium,1
convex,large,scaly,pink,no,foul,attached,distant,broad,green,enlarging,rhizomorphs,silky,fibrous,gray,orange,partial,brown,two,none,yellow,cinnamon,scattered,meadows,high,medium,high,high,1
conical,medium,grooves,white,no,musty,descending,distant,broad,chocolate,enlarging,club,silky,silky,yellow,brown,partial,orange,one,zone,white,pink,abundant,waste,medium,high,medium,high,0
sunken,large,smooth,red,no,almond,free,close,broad,buff,tapering,club,smooth,scaly,buff,pink,partial,orange,none,none,buff,white,several,meadows,low,medium,low,high,1
convex,medium,smooth,white,no,almond,notched,close,narrow,black,enlarging,rhizomorphs,smooth,smooth,brown,red,universal,white,none,flaring,orange,yellow,clustered,urban,low,low,high,low,0
flat,large,scaly,green,bruises,fishy,notched,distant,broad,pink,tapering,bulbous,silky,silky,brown,buff,universal,brown,none,pendant,yellow,green,abundant,paths,high,high,low,low,1
conical,small,smooth,pink,no,almond,attached,close,narrow,yellow,enlarging,rooted,scaly,silky,yellow,pink,partial,yellow,two,sheathing,green,gray,abundant,urban,medium,high,medium,low,0
convex,medium,smooth,white,no,none,free,crowded,broad,yellow,tapering,equal,fibrous,silky,orange,pink,partial,orange,two,none,white,green,numerous,urban,low,low,medium,high,3
sunken,medium,scaly,green,no,spicy,notched,crowded,broad,black,enlarging,club,smooth,scaly,yellow,orange,universal,orange,none,evanescent,yellow,cinnamon,scattered,paths,low,medium,low,medium,2
knobbed,large,fibrous,brown,no,almond,attached,distant,narrow,brown,tapering,rhizomorphs,scaly,smooth,white,buff,universal,white,one,evanescent,yellow,green,several,paths,medium,high,high,high,1
sunken,large,smooth,white,no,spicy,free,distant,narrow,red,tapering,rhizomorphs,smooth,silky,gray,buff,universal,yellow,none,pendant,brown,yellow,several,woods,high,low,high,high,1
convex,medium,grooves,white,no,fishy,free,distant,broad,chocolate,tapering,cup,scaly,fibrous,orange,white,partial,brown,none,large,orange,gray,abundant,woods,low,low,high,low,1
bell,small,scaly,yellow,bruises,musty,free,crowded,broad,buff,tapering,equal,fibrous,scaly,cinnamon,gray,partial,yellow,none,evanescent,chocolate,brown,numerous,woods,medium,low,high,medium,1
convex,small,grooves,white,bruises,creosote,notched,crowded,broad,gray,enlarging,rhizomorphs,fibrous,silky,cinnamon,cinnamon,universal,white,one,flaring,chocolate,yellow,clustered,paths,low,medium,high,medium,0
conical,large,scaly,red,bruises,almond,attached,close,narrow,brown,tapering,rooted,smooth,scaly,pink,cinnamon,partial,yellow,two,large,black,cinnamon,scattered,waste,medium,medium,low,high,2
flat,large,grooves,buff,no,pungent,descending,distant,narrow,white,enlarging,bulbous,fibrous,fibrous,white,white,universal,yellow,two,evanescent,green,white,several,grasses,low,low,high,high,2
sunken,large,smooth,gray,bruises,none,notched,crowded,broad,white,tapering,rhizomorphs,fibrous,silky,white,cinnamon,universal,white,none,zone,purple,yellow,scattered,paths,low,low,high,medium,3
flat,large,smooth,yellow,no,almond,free,crowded,narrow,purple,enlarging,equal,fibrous,scaly,buff,gray,universal,brown,two,large,black,cinnamon,clustered,woods,high,low,low,high,1
convex,small,scaly,green,bruises,foul,descending,close,narrow,orange,enlarging,equal,fibrous,smooth,pink,buff,partial,brown,none,evanescent,brown,gray,scattered,woods,high,low,medium,high,0
bell,small,grooves,cinnamon,no,almond,descending,crowded,narrow,red,tapering,rhizomorphs,scaly,fibrous,brown,gray,partial,white,none,none,yellow,buff,numerous,waste,high,low,medium,medium,1
convex,small,fibrous,brown,bruises,musty,notched,close,narrow,brown,enlarging,bulbous,scaly,scaly,cinnamon,white,universal,orange,none,evanescent,brown,white,solitary,grasses,high,medium,high,medium,2
convex,small,grooves,brown,no,almond,attached,crowded,narrow,pink,enlarging,club,fibrous,fibrous,buff,brown,partial,yellow,one,zone,brown,gray,scattered,leaves,low,low,low,high,3
conical,medium,smooth,brown,bruises,spicy,free,close,narrow,chocolate,enlarging,equal,silky,scaly,orange,pink,partial,brown,none,sheathing,yellow,cinnamon,scattered,paths,low,medium,medium,medium,0
flat,medium,fibrous,cinnamon,no,fishy,attached,distant,broad,gray,tapering,cup,fibrous,scaly,buff,red,universal,yellow,two,flaring,white,white,scattered,paths,medium,high,high,medium,1
flat,medium,smooth,red,bruises,pungent,free,close,broad,yellow,tapering,rhizomorphs,smooth,scaly,buff,orange,universal,brown,none,flaring,orange,white,numerous,woods,low,low,medium,low,2
sunken,large,grooves,cinnamon,bruises,creosote,free,distant,broad,gray,enlarging,rhizomorphs,fibrous,silky,pink,brown,partial,yellow,one,none,orange,green,numerous,paths,medium,low,low,low,1
